"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 02:28:02 UTC 2023","Mon Sep 25 02:28:10 UTC 2023","7220","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Mon Sep 25 04:22:38 UTC 2023","Mon Sep 25 04:22:56 UTC 2023","17480","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Sep 25 03:50:10 UTC 2023","Mon Sep 25 03:50:14 UTC 2023","4274","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Mon Sep 25 03:22:34 UTC 2023","Mon Sep 25 03:22:48 UTC 2023","13837","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Mon Sep 25 02:30:45 UTC 2023","Mon Sep 25 02:30:46 UTC 2023","750","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Sep 25 02:43:54 UTC 2023","Mon Sep 25 02:43:57 UTC 2023","3213","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Mon Sep 25 03:22:48 UTC 2023","Mon Sep 25 03:22:50 UTC 2023","1705","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Mon Sep 25 02:47:43 UTC 2023","Mon Sep 25 02:48:02 UTC 2023","19381","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Sep 25 03:29:35 UTC 2023","Mon Sep 25 03:29:52 UTC 2023","17201","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Mon Sep 25 02:52:38 UTC 2023","Mon Sep 25 02:52:47 UTC 2023","9313","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Mon Sep 25 02:40:31 UTC 2023","Mon Sep 25 02:40:52 UTC 2023","20203","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Sep 25 02:24:11 UTC 2023","Mon Sep 25 02:24:57 UTC 2023","45419","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Mon Sep 25 02:21:34 UTC 2023","Mon Sep 25 02:21:57 UTC 2023","23638","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Mon Sep 25 02:52:47 UTC 2023","Mon Sep 25 02:52:50 UTC 2023","2436","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Sep 25 03:29:28 UTC 2023","Mon Sep 25 03:29:31 UTC 2023","2445","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Mon Sep 25 02:20:49 UTC 2023","Mon Sep 25 02:20:49 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Mon Sep 25 02:55:21 UTC 2023","Mon Sep 25 02:56:00 UTC 2023","39755","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Mon Sep 25 02:44:53 UTC 2023","Mon Sep 25 02:44:56 UTC 2023","3309","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Mon Sep 25 02:52:14 UTC 2023","Mon Sep 25 02:52:18 UTC 2023","3740","","6. Company Account","","","","5. Complete Screen and tilts",""
